"","trait","h2_estimate","is_heritable","dataset","simple_name"
"204","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.",0.138939096,"NS","Goodrich 2014","f_Odoribacteraceae"
"205","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.",1.43e-14,"NS","Turnbaugh 2009","f_Odoribacteraceae"
"206","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.",0.022757831,"NS","Yatsunenko 2012","f_Odoribacteraceae"
"207","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae",0.271535235,"heritable","Goodrich 2014","f_Oxalobacteraceae"
"208","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae",7.83e-13,"NS","Yatsunenko 2012","f_Oxalobacteraceae"
"209","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae.",0.099679601,"NS","Goodrich 2014","f_Paraprevotellaceae"
"210","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae.",0.132717023,"NS","Turnbaugh 2009","f_Paraprevotellaceae"
"211","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae.",2.02e-14,"NS","Yatsunenko 2012","f_Paraprevotellaceae"
"212","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae",1.18e-12,"NS","Goodrich 2014","f_Pasteurellaceae"
"213","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae",0.323960773,"NS","Yatsunenko 2012","f_Pasteurellaceae"
"214","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae",0.121259843,"NS","Goodrich 2014","f_Peptococcaceae"
"215","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae",1.3e-12,"NS","Yatsunenko 2012","f_Peptococcaceae"
"216","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae",5.21e-14,"NS","Goodrich 2014","f_Peptostreptococcaceae"
"217","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae",0.064919994,"NS","Turnbaugh 2009","f_Peptostreptococcaceae"
"218","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae",0.440077416,"NS","Yatsunenko 2012","f_Peptostreptococcaceae"
"219","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae",0.171119219,"NS","Yatsunenko 2012","f_Planococcaceae"
"220","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae",0.06627691,"NS","Goodrich 2014","f_Porphyromonadaceae"
