"","trait","h2_estimate","is_heritable","dataset"
"3468","523987",0.098419304,"NS","Goodrich_2014_Yatsunenko"
"3469","524444",1.56e-14,"NS","Goodrich_2014_Yatsunenko"
"3470","524725",0.394278118,"NS","Goodrich_2014_Yatsunenko"
"3471","525142",0.086110735,"NS","Goodrich_2014_Yatsunenko"
"3472","525215",0.411726701,"NS","Goodrich_2014_Yatsunenko"
"3473","525378",0.05754881,"NS","Goodrich_2014_Yatsunenko"
"3474","525401",0.221557661,"NS","Goodrich_2014_Yatsunenko"
"3475","525474",0.416177514,"NS","Goodrich_2014_Yatsunenko"
"3476","525763",1.01e-12,"NS","Goodrich_2014_Yatsunenko"
"3477","526131",0.390995653,"heritable","Goodrich_2014_Yatsunenko"
"3478","526682",0.39441897,"NS","Goodrich_2014_Yatsunenko"
"3479","527988",0,"NS","Goodrich_2014_Yatsunenko"
"3480","528692",5.74e-18,"NS","Goodrich_2014_Yatsunenko"
"3481","529608",3.65e-15,"NS","Goodrich_2014_Yatsunenko"
"3482","529740",1.08e-14,"NS","Goodrich_2014_Yatsunenko"
"3483","529905",0.285228265,"NS","Goodrich_2014_Yatsunenko"
"3484","529940",0.217492345,"NS","Goodrich_2014_Yatsunenko"
"3485","529979",5.84e-12,"NS","Goodrich_2014_TwinsUK"
"3486","530094",0.148368718,"NS","Goodrich_2014_Yatsunenko"
"3487","530379",0.402727408,"NS","Goodrich_2014_Yatsunenko"
"3488","530629",0.364079155,"heritable","Goodrich_2014_Yatsunenko"
"3489","530700",6.83e-14,"NS","Goodrich_2014_Yatsunenko"
"3490","531582",3.29e-16,"NS","Goodrich_2014_Yatsunenko"
"3491","533480",0.22558867,"NS","Goodrich_2014_Yatsunenko"
"3492","535707",1.1e-27,"NS","Goodrich_2014_Yatsunenko"
"3493","535955",1.5e-14,"NS","Goodrich_2014_TwinsUK"
"3494","536831",0.505540828,"NS","Goodrich_2014_Yatsunenko"
"3495","536866",3.61e-12,"NS","Goodrich_2014_Yatsunenko"
"3496","536910",4.41e-14,"NS","Goodrich_2014_Yatsunenko"
"3497","537219",0.265863143,"heritable","Goodrich_2014_TwinsUK"
"3498","537506",0.006488919,"NS","Goodrich_2014_Yatsunenko"
"3499","538185",0.416009991,"heritable","Goodrich_2014_Yatsunenko"
"3500","538322",0.184481331,"NS","Goodrich_2014_TwinsUK"
"3501","539581",0.269888656,"NS","Goodrich_2014_Yatsunenko"
"3502","540055",0.292364943,"NS","Goodrich_2014_TwinsUK"
"3503","540055",0.348772694,"NS","Goodrich_2014_Yatsunenko"
"3504","540682",1.79e-13,"NS","Goodrich_2014_Yatsunenko"
"3505","541394",0.130819392,"NS","Goodrich_2014_Yatsunenko"
"3506","541415",0,"NS","Goodrich_2014_Yatsunenko"
"3507","542725",0.159013656,"NS","Goodrich_2014_Yatsunenko"
"3508","542934",0.04851367,"NS","Goodrich_2014_Yatsunenko"
"3509","546406",9.06e-14,"NS","Goodrich_2014_Yatsunenko"
"3510","547223",7.01e-16,"NS","Goodrich_2014_Yatsunenko"
"3511","547287",2.82e-13,"NS","Goodrich_2014_Yatsunenko"
"3512","547714",0.266339997,"NS","Goodrich_2014_Yatsunenko"
"3513","547906",7.45e-13,"NS","Goodrich_2014_Yatsunenko"
"3514","54794",0.069757021,"NS","Goodrich_2014_Yatsunenko"
"3515","548475",0.487097102,"heritable","Goodrich_2014_Yatsunenko"
"3516","549950",4.49e-14,"NS","Goodrich_2014_Yatsunenko"
"3517","550013",9.16e-15,"NS","Goodrich_2014_Yatsunenko"
"3518","550037",3.08e-13,"NS","Goodrich_2014_Yatsunenko"
"3519","552235",0.23354776,"NS","Goodrich_2014_Yatsunenko"
"3520","552528",1.77e-14,"NS","Goodrich_2014_Yatsunenko"
"3521","553080",0.252496501,"NS","Goodrich_2014_TwinsUK"
"3522","553611",1.3e-14,"NS","Goodrich_2014_Yatsunenko"
"3523","554436",0.184340456,"NS","Goodrich_2014_Yatsunenko"
"3524","555400",0.180488936,"NS","Goodrich_2014_Yatsunenko"
"3525","555547",0.14778962,"NS","Goodrich_2014_TwinsUK"
"3526","555547",0.444430114,"NS","Goodrich_2014_Yatsunenko"
"3527","558081",4.37e-14,"NS","Goodrich_2014_Yatsunenko"
"3528","558281",0.099859913,"heritable","Goodrich_2014_Yatsunenko"
"3529","560336",2.27e-13,"NS","Goodrich_2014_Yatsunenko"
"3530","560685",0.244436451,"NS","Goodrich_2014_Yatsunenko"
"3531","561312",2.16e-12,"NS","Goodrich_2014_Yatsunenko"
"3532","561607",1.41e-13,"NS","Goodrich_2014_Yatsunenko"
"3533","562410",1.34e-14,"NS","Goodrich_2014_Yatsunenko"
"3534","562797",1.14e-14,"NS","Goodrich_2014_Yatsunenko"
"3535","563572",0,"NS","Goodrich_2014_TwinsUK"
"3536","567011",0.012937862,"NS","Goodrich_2014_Yatsunenko"
"3537","567715",9.99e-12,"NS","Goodrich_2014_Yatsunenko"
"3538","568016",0.236635603,"NS","Goodrich_2014_Yatsunenko"
"3539","568952",3.47e-40,"NS","Goodrich_2014_Yatsunenko"
"3540","571081",2.26e-13,"NS","Goodrich_2014_Yatsunenko"
"3541","571563",0.391762114,"NS","Goodrich_2014_Yatsunenko"
"3542","571642",0,"NS","Goodrich_2014_TwinsUK"
"3543","571642",0.389123157,"NS","Goodrich_2014_Yatsunenko"
"3544","572254",1.97e-12,"NS","Goodrich_2014_Yatsunenko"
"3545","572751",0.432224574,"NS","Goodrich_2014_Yatsunenko"
"3546","573110",1.61e-26,"NS","Goodrich_2014_Yatsunenko"
"3547","573969",0.410615478,"NS","Goodrich_2014_Yatsunenko"
"3548","574263",3.42e-15,"NS","Goodrich_2014_Yatsunenko"
"3549","575407",0.350331441,"NS","Goodrich_2014_Yatsunenko"
"3550","575768",0.181873738,"NS","Goodrich_2014_Yatsunenko"
"3551","576914",1.22e-10,"NS","Goodrich_2014_Yatsunenko"
"3552","577170",4.4e-18,"NS","Goodrich_2014_TwinsUK"
"3553","578016",2.05e-14,"NS","Goodrich_2014_TwinsUK"
"3554","583134",6.55e-13,"NS","Goodrich_2014_Yatsunenko"
"3555","584463",0.283465535,"NS","Goodrich_2014_Yatsunenko"
"3556","585914",2.58e-14,"NS","Goodrich_2014_Yatsunenko"
"3557","586453",6.2e-13,"NS","Goodrich_2014_Yatsunenko"
"3558","590980",1.21e-16,"NS","Goodrich_2014_Yatsunenko"
"3559","591285",5.33e-13,"NS","Goodrich_2014_Yatsunenko"
"3560","592616",0.029869717,"NS","Goodrich_2014_Yatsunenko"
"3561","593422",0.320119317,"NS","Goodrich_2014_Yatsunenko"
"3562","594206",7.86e-14,"NS","Goodrich_2014_Yatsunenko"
"3563","616688",0.03806016,"NS","Goodrich_2014_Yatsunenko"
"3564","619140",0.390654313,"NS","Goodrich_2014_Yatsunenko"
"3565","619817",3.71e-15,"NS","Goodrich_2014_Yatsunenko"
"3566","621472",0.352461103,"NS","Goodrich_2014_Yatsunenko"
"3567","627429",0.320282259,"NS","Goodrich_2014_Yatsunenko"
"3568","634449",1.58e-12,"NS","Goodrich_2014_Yatsunenko"
"3569","649107",0.146530385,"NS","Goodrich_2014_Yatsunenko"
"3570","652696",9.96e-14,"NS","Goodrich_2014_Yatsunenko"
"3571","656881",0.070471259,"NS","Goodrich_2014_TwinsUK"
"3572","66188",7.05e-10,"NS","Goodrich_2014_Yatsunenko"
"3573","669005",0.349585359,"NS","Goodrich_2014_Yatsunenko"
"3574","672440",0.451569509,"heritable","Goodrich_2014_Yatsunenko"
"3575","681357",0.346893812,"NS","Goodrich_2014_Yatsunenko"
"3576","681370",0.223306825,"heritable","Goodrich_2014_TwinsUK"
"3577","681370",2.37e-16,"NS","Goodrich_2014_Yatsunenko"
"3578","683112",0.465301792,"NS","Goodrich_2014_Yatsunenko"
"3579","686900",1.52e-16,"NS","Goodrich_2014_Yatsunenko"
